time,y
24920,-9.767424
24942,-9.92433
24964,-10.081236
24981,-10.120462
25001,-10.306788
25021,-10.208722
25044,-10.110656
25061,-10.012589
25081,-10.032203
25101,-10.169496
25122,-10.257755
25143,-10.247949
25162,-10.110656
25182,-9.914523
25202,-9.77723
25222,-9.943943
25252,-9.973363
25262,-9.992976
25282,-9.973363
25303,-9.885103
25323,-9.826263
25344,-9.92433
25363,-9.816457
25383,-9.816457
25403,-9.9047165
25424,-9.98317
25444,-9.826263
25464,-10.100849
25484,-10.208722
25505,-10.100849
25529,-10.140076
25545,-10.179302
25564,-9.885103
25585,-9.708583
25604,-9.767424
25624,-9.875297
25645,-9.992976
25664,-9.973363
25684,-10.032203
25706,-9.92433
25728,-9.86549
25746,-9.855683
25766,-9.845877
25786,-9.875297
25807,-9.934136
25832,-10.012589
25850,-10.120462
25867,-10.051816
25886,-10.002783
25909,-10.012589
25931,-10.042009
25947,-9.914523
25967,-9.83607
25988,-9.80665
26008,-9.95375
26032,-9.992976
26049,-9.973363
26068,-9.92433
26088,-10.071429
26108,-9.914523
26132,-9.992976
26148,-9.992976
26169,-10.0910425
26189,-9.98317
26209,-10.051816
26237,-10.159689
26254,-10.120462
26269,-10.071429
26289,-10.0910425
26310,-9.992976
26329,-9.787037
26349,-9.708583
26369,-9.875297
26390,-9.826263
26410,-9.747809
26431,-9.934136
26450,-9.89491
26471,-9.826263
26494,-10.002783
26517,-10.257755
26534,-10.179302
26552,-10.061623
26571,-10.071429
26592,-10.071429
26612,-10.081236
26634,-9.992976
26652,-9.98317
26672,-9.963556
26692,-9.98317
26712,-9.943943
26733,-9.855683
26753,-9.885103
26773,-9.943943
26794,-9.98317
26819,-10.002783
26836,-9.92433
26853,-9.914523
26874,-9.855683
26894,-9.855683
26914,-9.943943
26934,-10.032203
26954,-10.100849
26975,-10.218529
26996,-10.159689
27019,-9.973363
27035,-9.943943
27055,-9.86549
27076,-9.973363
27097,-10.061623
27122,-10.081236
27136,-10.110656
27156,-10.071429
27176,-10.051816
27196,-10.002783
27219,-9.875297
27236,-9.787037
27256,-9.845877
27276,-9.92433
27299,-10.042009
27322,-9.95375
27337,-9.95375
27357,-9.86549
27378,-9.885103
27397,-9.875297
27421,-9.914523
27441,-9.95375
27458,-9.816457
27478,-10.0910425
27499,-10.071429
27527,-10.002783
27539,-10.169496
27559,-10.159689
27579,-10.179302
27599,-10.208722
27621,-10.238142
27639,-10.081236
27659,-9.973363
27679,-9.973363
27700,-9.973363
27725,-9.767424
27740,-9.767424
27760,-9.934136
27780,-9.875297
27800,-9.914523
27825,-10.022396
27840,-10.120462
27861,-10.061623
27883,-9.992976
27913,-10.071429
27930,-10.002783
27941,-9.9047165
27961,-9.95375
27983,-10.042009
28006,-10.012589
28022,-10.100849
28042,-10.208722
28062,-10.140076
28084,-10.002783
28108,-9.963556
28126,-9.943943
28149,-9.885103
28166,-9.796844
28185,-9.77723
28207,-9.728196
28224,-9.728196
28243,-9.885103
28263,-10.022396
28285,-9.9047165
28308,-9.728196
28324,-9.95375
28344,-10.100849
28364,-10.081236
28385,-10.140076
28408,-10.0910425
28424,-10.0910425
28445,-10.032203
28465,-10.042009
28485,-10.071429
28515,-9.855683
28526,-10.012589
28545,-10.149882
28565,-10.179302
28585,-10.120462
28605,-10.169496
28625,-10.189109
28646,-9.973363
28665,-9.80665
28686,-9.875297
28706,-9.796844
28727,-9.83607
28747,-10.002783
28767,-9.992976
28787,-9.963556
28810,-9.9047165
28827,-9.885103
28847,-9.738003
28868,-9.669356
28888,-9.728196
28910,-9.973363
28928,-10.169496
28948,-10.051816
28969,-10.012589
28989,-10.012589
29011,-10.061623
29029,-10.051816
29049,-10.149882
29069,-10.169496
29089,-10.130269
29110,-9.943943
29130,-10.0910425
29150,-10.0910425
29170,-9.914523
29190,-9.934136
29211,-9.89491
29230,-9.973363
29250,-10.071429
29272,-9.885103
29295,-9.80665
29312,-10.022396
29331,-9.885103
29352,-9.747809
29373,-9.914523
29395,-10.012589
29412,-9.9047165
29432,-9.98317
29452,-10.061623
29472,-9.973363
29497,-9.855683
29513,-9.845877
29533,-10.061623
29552,-10.149882
29574,-10.140076
29597,-10.179302
29633,-10.032203
29653,-10.071429
29673,-10.130269
29696,-10.159689
29714,-10.110656
29733,-9.885103
29754,-9.77723
29774,-9.855683
29797,-9.83607
29814,-9.875297
29834,-9.9047165
29855,-9.992976
29876,-10.032203
29898,-10.051816
29914,-10.012589
29939,-10.071429
29955,-9.95375
29975,-10.051816
29999,-10.081236
30016,-10.012589
30035,-10.071429
30056,-10.0910425
30076,-10.012589
30098,-10.022396
30117,-10.120462
30136,-10.149882
30156,-10.002783
30176,-9.9047165
30198,-9.885103
30216,-9.95375
30237,-9.963556
30257,-10.061623
30277,-9.963556
30301,-9.9047165
30317,-9.80665
30337,-9.80665
30358,-9.826263
30379,-9.885103
30399,-10.100849
30418,-10.179302
30438,-10.100849
30458,-10.081236
30479,-10.0910425
30499,-10.130269
30519,-10.012589
30539,-9.98317
30561,-10.051816
30583,-10.189109
30600,-10.140076
30620,-10.120462
30639,-10.051816
30662,-10.012589
30684,-10.032203
30702,-10.061623
30720,-9.934136
30741,-9.83607
30762,-9.963556
30785,-9.934136
30802,-9.845877
30821,-9.826263
30842,-10.002783
30862,-10.022396
30884,-9.914523
30903,-10.002783
30922,-10.071429
30943,-10.071429
30966,-9.963556
30985,-9.934136
