time,x,y,z
30337,-0.18632634,-9.80665,0.0
30358,-0.2157463,-9.826263,-0.0392266
30379,-0.2549729,-9.885103,0.0196133
30399,-0.2745862,-10.100849,0.02941995
30418,-0.2353596,-10.179302,-0.02941995
30438,-0.22555295,-10.100849,0.0392266
30458,-0.22555295,-10.081236,0.0
30479,-0.20593965,-10.0910425,-0.00980665
30499,-0.19613299,-10.130269,-0.0392266
30519,-0.20593965,-10.012589,0.0392266
30539,-0.2157463,-9.98317,0.00980665
30561,-0.24516624,-10.051816,0.0392266
30583,-0.24516624,-10.189109,0.049033247
30600,-0.24516624,-10.140076,0.0196133
30620,-0.2353596,-10.120462,-0.0784532
30639,-0.2157463,-10.051816,-0.00980665
30662,-0.2157463,-10.012589,-0.00980665
30684,-0.16671304,-10.032203,0.0196133
30702,-0.17651969,-10.061623,0.0588399
30720,-0.18632634,-9.934136,0.0
30741,-0.2157463,-9.83607,-0.02941995
30762,-0.24516624,-9.963556,-0.0392266
30785,-0.28439283,-9.934136,-0.00980665
30802,-0.2353596,-9.845877,0.0196133
30821,-0.2157463,-9.826263,0.0588399
30842,-0.19613299,-10.002783,0.0196133
30862,-0.19613299,-10.022396,0.0392266
30884,-0.2353596,-9.914523,0.0
30903,-0.19613299,-10.002783,-0.0588399
30922,-0.17651969,-10.071429,-0.10787315
30943,-0.2157463,-10.071429,-0.049033247
30966,-0.20593965,-9.963556,0.0196133
30985,-0.2745862,-9.934136,-0.0196133
31002,-0.20593965,-10.071429,0.0196133
31022,-0.24516624,-10.149882,-0.02941995
31043,-0.20593965,-10.149882,-0.0588399
31063,-0.24516624,-10.032203,0.0196133
31087,-0.20593965,-10.002783,-0.00980665
31104,-0.1569064,-10.022396,0.0196133
31123,-0.1569064,-9.885103,-0.02941995
31143,-0.18632634,-9.875297,0.0196133
31164,-0.2353596,-9.98317,-0.0588399
31187,-0.20593965,-9.98317,0.00980665
31204,-0.2745862,-9.98317,-0.049033247
31224,-0.22555295,-9.914523,-0.00980665
31245,-0.2157463,-9.80665,0.0196133
31265,-0.2353596,-9.747809,-0.00980665
31287,-0.2157463,-9.738003,-0.0392266
31304,-0.2157463,-9.89491,-0.0196133
31324,-0.22555295,-10.071429,-0.02941995
31345,-0.2745862,-10.189109,-0.049033247
31364,-0.2549729,-10.208722,0.0
31390,-0.24516624,-10.179302,0.0588399
31404,-0.18632634,-10.071429,-0.00980665
31425,-0.17651969,-9.89491,0.049033247
31445,-0.22555295,-9.992976,-0.00980665
31465,-0.18632634,-10.032203,0.00980665
31491,-0.18632634,-10.051816,-0.0196133
31505,-0.22555295,-10.120462,-0.02941995
31526,-0.2157463,-10.208722,0.00980665
31546,-0.2157463,-10.120462,0.0784532
31566,-0.17651969,-9.992976,-0.00980665
31586,-0.24516624,-9.98317,-0.0392266
31606,-0.26477954,-10.012589,-0.02941995
31626,-0.19613299,-9.89491,0.00980665
31649,-0.20593965,-9.757616,0.06864655
31676,-0.20593965,-9.98317,0.049033247
31690,-0.2157463,-9.92433,-0.02941995
31707,-0.2353596,-9.92433,-0.0784532
31727,-0.20593965,-9.885103,-0.0784532
31749,-0.2549729,-9.914523,-0.02941995
31772,-0.2157463,-9.89491,0.0
31789,-0.2549729,-9.992976,0.00980665
31808,-0.2549729,-10.081236,-0.0588399
31828,-0.2353596,-9.963556,-0.02941995
31850,-0.2549729,-9.943943,0.0588399
31873,-0.2353596,-10.042009,0.0
31889,-0.20593965,-10.081236,0.0784532
31908,-0.2157463,-9.973363,0.0
31930,-0.20593965,-9.973363,0.0784532
31951,-0.2157463,-10.071429,-0.0196133
31973,-0.22555295,-10.042009,-0.0588399
31989,-0.2157463,-9.914523,-0.0784532
32009,-0.19613299,-10.022396,0.0392266
32029,-0.18632634,-10.179302,-0.0196133
32051,-0.2353596,-10.0910425,-0.00980665
32076,-0.19613299,-10.032203,-0.0392266
32092,-0.20593965,-10.0910425,-0.02941995
32110,-0.26477954,-10.042009,-0.0392266
32130,-0.2353596,-9.826263,0.00980665
32151,-0.22555295,-9.855683,0.0
32174,-0.22555295,-9.89491,0.02941995
32191,-0.2745862,-9.845877,0.0588399
32210,-0.24516624,-9.98317,-0.00980665
32231,-0.22555295,-10.061623,0.0
32252,-0.2157463,-10.130269,0.0392266
32274,-0.19613299,-10.042009,-0.00980665
32291,-0.24516624,-10.140076,0.02941995
32311,-0.24516624,-10.179302,0.02941995
32332,-0.2353596,-10.149882,-0.0392266
32352,-0.20593965,-10.169496,-0.00980665
32379,-0.24516624,-10.081236,-0.00980665
32394,-0.22555295,-10.051816,0.0
32411,-0.2745862,-9.973363,-0.0392266
32432,-0.2353596,-10.012589,-0.0392266
32454,-0.22555295,-10.032203,-0.0392266
32475,-0.19613299,-10.002783,0.00980665
32494,-0.2353596,-10.071429,-0.0588399
32512,-0.19613299,-10.100849,0.0
32533,-0.14709975,-10.022396,0.00980665
32554,-0.24516624,-9.9047165,-0.0588399
32575,-0.22555295,-9.914523,-0.098066494
32593,-0.24516624,-9.89491,-0.0588399
32613,-0.2157463,-9.92433,-0.00980665
32633,-0.20593965,-9.934136,0.0
32653,-0.2549729,-9.855683,-0.00980665
32685,-0.19613299,-9.787037,0.0196133
32696,-0.20593965,-9.708583,-0.00980665
32714,-0.20593965,-9.767424,-0.02941995
